TLD,Server,Exclude
marriott,whois.afilias-srs.net,0
suzuki,whois.nic.suzuki,0
toyota,whois.nic.toyota,0
vistaprint,whois.nic.vistaprint,0
wme,whois.nic.wme,0
erni,whois.nic.erni,0
ferrero,whois.nic.ferrero,0
dell,whois.nic.dell,0
volkswagen,whois.nic.volkswagen,0
extraspace,whois.afilias-srs.net,0
canon,whois.nic.canon,0
here,domain-registry-whois.l.google.com,0
nec,whois.nic.nec,0
nokia,whois.afilias-srs.net,0
page,domain-registry-whois.l.google.com,0
ricoh,whois.nic.ricoh,0
schmidt,whois.nic.schmidt,0
sncf,whois-sncf.nic.fr,0
stc,whois.centralnic.com,0
mtr,whois.nic.mtr,0
amica,whois.nic.amica,0
bugatti,whois.afilias-srs.net,0
travelers,whois.afilias-srs.net,0
teva,whois.nic.teva,0
aws,whois.nic.aws,0
aaa,whois.nic.aaa,0
ads,domain-registry-whois.l.google.com,0
allfinanz,whois.ksregistry.net,0
app,whois.nic.google,0
bbc,whois.nic.bbc,0
boo,domain-registry-whois.l.google.com,0
channel,domain-registry-whois.l.google.com,0
dad,domain-registry-whois.l.google.com,0
day,domain-registry-whois.l.google.com,0
eat,domain-registry-whois.l.google.com,0
esq,domain-registry-whois.l.google.com,0
fly,domain-registry-whois.l.google.com,0
gbiz,domain-registry-whois.l.google.com,0
gmail,domain-registry-whois.l.google.com,0
goo,whois.nic.gmo,0
ing,domain-registry-whois.l.google.com,0
ipiranga,whois.nic.ipiranga,0
lexus,whois.nic.lexus,0
meme,domain-registry-whois.l.google.com,0
mov,domain-registry-whois.l.google.com,0
netbank,whois.nic.netbank,0
new,domain-registry-whois.l.google.com,0
prod,domain-registry-whois.l.google.com,0
prof,domain-registry-whois.l.google.com,0
rsvp,domain-registry-whois.l.google.com,0
spiegel,whois.ksregistry.net,0
toshiba,whois.nic.toshiba,0
vista,whois.nic.vista,0
xerox,whois.nic.xerox,0
娱乐,whois.donuts.co,0
游戏,whois.donuts.co,0
youtube,domain-registry-whois.l.google.com,0
zip,domain-registry-whois.l.google.com,0
hermes,whois.afilias-srs.net,0
kinder,whois.nic.kinder,0
aramco,whois.nic.aramco,0
redumbrella,whois.afilias-srs.net,0
rocher,whois.nic.rocher,0
grainger,whois.nic.grainger,0
broadway,whois-cl01.mm-registry.com,0
jmp,whois.nic.jmp,0
trv,whois.afilias-srs.net,0
travelersinsurance,whois.afilias-srs.net,0
schaeffler,whois.afilias-srs.net,0
statefarm,whois.nic.statefarm,0
lanxess,whois.nic.lanxess,0
quest,whois.nic.quest,0
jpmorgan,whois.nic.jpmorgan,0
chase,whois.nic.chase,0
natura,whois.afilias-srs.net,0
locus,whois.nic.locus,0
jcp,whois.afilias-srs.net,0
dhl,whois.nic.dhl,0
dupont,whois.nic.dupont,0
art,whois.centralnic.com,0
